regime,seed,task,cc_gain,cc_mode,limb_condition,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9101,s_lr,0.0,noisy,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.0,stuck,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,stuck,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
capacity,9101,s_lr,0.0,stuck,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.025,always,intact,0.6533778347007118,0.7733808019741357,0.022115432566752656,4.912021105737791
capacity,9101,s_lr,0.025,always,L4 failure,1.4048129230178177,2.1502860116426965,0.6813784025479224,11.030608597368598
capacity,9101,s_lr,0.025,always,L4 slip,0.8672942073607994,1.1906965759072565,0.16162546359352162,6.842844540804165
capacity,9101,s_lr,0.025,dropout,intact,0.6828496402803527,0.84824287733963,0.08091055490325638,5.214455150292193
capacity,9101,s_lr,0.025,dropout,L4 failure,1.4774458060082118,2.270478499732252,0.8059696480245597,11.515090515379285
capacity,9101,s_lr,0.025,dropout,L4 slip,0.914528019704681,1.2861115622516528,0.24388961855460858,7.228078128864749
capacity,9101,s_lr,0.025,intermittent,intact,0.7041875820187702,0.8869495960800279,0.07519688178524513,5.409738614970881
capacity,9101,s_lr,0.025,intermittent,L4 failure,1.4991285547714492,2.3077732467542416,0.7879735198102316,11.707457689119906
capacity,9101,s_lr,0.025,intermittent,L4 slip,0.9374801151759677,1.3250158477602625,0.23206721102766506,7.428353122083826
capacity,9101,s_lr,0.025,delayed,intact,0.6602778462412114,0.7877719853447376,0.02486386770051723,4.979309871389417
capacity,9101,s_lr,0.025,delayed,L4 failure,1.4184874083373342,2.1733974622205383,0.6900756623641755,11.13415526008081
capacity,9101,s_lr,0.025,delayed,L4 slip,0.8769882437704436,1.2087483434298776,0.16651838226331614,6.925886959215145
capacity,9101,s_lr,0.025,noisy,intact,0.6496724426572075,0.7662811108375539,0.021888312956822132,4.876480359500455
capacity,9101,s_lr,0.025,noisy,L4 failure,1.402101938225028,2.1456845603667634,0.68498861542056,11.005429568817625
capacity,9101,s_lr,0.025,noisy,L4 slip,0.8639901225583715,1.1850566651184429,0.16222411130623998,6.813877338780492
capacity,9101,s_lr,0.025,stuck,intact,0.6578547493489961,0.7853567784797292,0.03134167384254483,4.960180821934811
capacity,9101,s_lr,0.025,stuck,L4 failure,1.4243307558422953,2.1823685713121206,0.7198657016227756,11.159335214669296
capacity,9101,s_lr,0.025,stuck,L4 slip,0.8775757898694876,1.2118894542516734,0.1836859436830807,6.927978059156022
capacity,9101,s_lr,0.05,always,intact,0.5924542517017705,0.6225642181731722,0.04456040073579157,4.247645842443859
capacity,9101,s_lr,0.05,always,L4 failure,1.2739390632149137,1.9284927191169632,0.5290426407445936,10.077863727538759
capacity,9101,s_lr,0.05,always,L4 slip,0.778571541747756,1.0114415648005177,0.0707047521454357,6.059548397187041
capacity,9101,s_lr,0.05,dropout,intact,0.6381900095841164,0.7558370276260279,0.05866635525720485,4.786082078630744
capacity,9101,s_lr,0.05,dropout,L4 failure,1.4123821200807387,2.161054344671025,0.7719502834680921,11.014871632699968
capacity,9101,s_lr,0.05,dropout,L4 slip,0.8586120908685432,1.1837654394453812,0.21807558179506534,6.7553033573419015
capacity,9101,s_lr,0.05,intermittent,intact,0.677832356771575,0.8289805214527911,0.047504537632933816,5.156175928136708
capacity,9101,s_lr,0.05,intermittent,L4 failure,1.4521960419703228,2.229562375665545,0.7344280253399373,11.371924294187615
capacity,9101,s_lr,0.05,intermittent,L4 slip,0.9018204438458787,1.2571045665518015,0.1948070091163177,7.134384458043623
capacity,9101,s_lr,0.05,delayed,intact,0.6030626629302356,0.6461877134281909,0.04201389728086056,4.360137292632918
capacity,9101,s_lr,0.05,delayed,L4 failure,1.2986288775109407,1.9707333565704175,0.544943532482777,10.2675187744341
capacity,9101,s_lr,0.05,delayed,L4 slip,0.7941984171607891,1.0416265656960741,0.07685258350658816,6.200393074045927
capacity,9101,s_lr,0.05,noisy,intact,0.5861753873281287,0.610010120587603,0.044111925858320744,4.183410761313196
capacity,9101,s_lr,0.05,noisy,L4 failure,1.26869118386273,1.9197463364746028,0.5361984673277738,10.029624205178756
capacity,9101,s_lr,0.05,noisy,L4 slip,0.7727138109465984,1.0014272685493926,0.07214525002949397,6.006957025171583
capacity,9101,s_lr,0.05,stuck,intact,0.5974615723305147,0.6389913268174983,0.03559479492565571,4.313766879865207
capacity,9101,s_lr,0.05,stuck,L4 failure,1.3115946591978838,1.9919079622484035,0.6071955533423845,10.33217765049143
capacity,9101,s_lr,0.05,stuck,L4 slip,0.7931385322313529,1.0447444709752545,0.10349782143273774,6.193361741120985
capacity,9101,s_lr,0.1,always,intact,0.5174485434906797,0.40507582758476907,0.13710543386279408,3.2678424115844873
capacity,9101,s_lr,0.1,always,L4 failure,1.0565587551667381,1.5463079374553084,0.2619889405965802,8.430394343179128
capacity,9101,s_lr,0.1,always,L4 slip,0.6529575453635312,0.7290947255795581,0.060962004778562576,4.8107160970397915
capacity,9101,s_lr,0.1,dropout,intact,0.5637394574320418,0.5906958718371621,0.01987993135908541,4.018814282533678
capacity,9101,s_lr,0.1,dropout,L4 failure,1.2950175340348855,1.962973751255938,0.7104653279726805,10.108238253733596
capacity,9101,s_lr,0.1,dropout,L4 slip,0.7606838894260015,0.9997473894337234,0.17143691924694077,5.903817256833872
capacity,9101,s_lr,0.1,intermittent,intact,0.6312705607146042,0.7205761953292381,0.007843352118945005,4.680592325533553
capacity,9101,s_lr,0.1,intermittent,L4 failure,1.3615045701509803,2.0772251668739985,0.6298939093174599,10.718564263053251
capacity,9101,s_lr,0.1,intermittent,L4 slip,0.8369192262892988,1.1296058464506926,0.12667948368474283,6.581158907215681
capacity,9101,s_lr,0.1,delayed,intact,0.529389386003581,0.42929741629203083,0.14077571145230833,3.3955040718122533
capacity,9101,s_lr,0.1,delayed,L4 failure,1.092755816465764,1.6103002297496587,0.2832199610214472,8.72225658115811
capacity,9101,s_lr,0.1,delayed,L4 slip,0.6722634475384217,0.7681714285202966,0.060147058036768807,5.001578063316626
capacity,9101,s_lr,0.1,noisy,intact,0.5088563534841648,0.39052522995766303,0.1332029948505743,3.1828083053015748
capacity,9101,s_lr,0.1,noisy,L4 failure,1.0474728005992402,1.5320708364003615,0.2759849545005951,8.348318871526647
capacity,9101,s_lr,0.1,noisy,L4 slip,0.6443434142999152,0.7153069024049012,0.055533531326471916,4.731765073033573
capacity,9101,s_lr,0.1,stuck,intact,0.5193474852652762,0.41315367669193687,0.1513449858187635,3.3006647471968225
capacity,9101,s_lr,0.1,stuck,L4 failure,1.1165441353725,1.6547529294242913,0.4085608273370835,8.865032850720414
capacity,9101,s_lr,0.1,stuck,L4 slip,0.6641327693799779,0.7624529436448141,0.03620239465678978,4.944956685639237
capacity,9101,s_lr,0.2,always,intact,0.4823964836358406,0.4227743644000637,0.20661780659677337,3.161291075781991
capacity,9101,s_lr,0.2,always,L4 failure,0.8075334532562283,1.072959397557834,0.0199638853685913,6.3425099713811
capacity,9101,s_lr,0.2,always,L4 slip,0.5488758232379525,0.5058121854786136,0.17893473105737656,3.723681190153257
capacity,9101,s_lr,0.2,dropout,intact,0.46924482673413015,0.34376326101346744,0.04618079922539481,2.8555186952140406
capacity,9101,s_lr,0.2,dropout,L4 failure,1.1056529265939532,1.6410012497088224,0.6099540474108677,8.629787998504671
capacity,9101,s_lr,0.2,dropout,L4 slip,0.6154318952994119,0.708353128473978,0.09540783871715561,4.5473214665208195
capacity,9101,s_lr,0.2,intermittent,intact,0.561095304375713,0.5343073747494597,0.08258027946107567,3.856963791407081
capacity,9101,s_lr,0.2,intermittent,L4 failure,1.197565967110776,1.7961916874361363,0.4360933382343147,9.5117357076533
capacity,9101,s_lr,0.2,intermittent,L4 slip,0.7315759045130765,0.9075646321305818,0.014810332177367302,5.61196858329415
capacity,9101,s_lr,0.2,delayed,intact,0.49298554591674165,0.4314993559303769,0.23103573354935536,3.2409552099068906
capacity,9101,s_lr,0.2,delayed,L4 failure,0.8377887542391266,1.1258851405152532,0.03283382125916016,6.607987999188106
capacity,9101,s_lr,0.2,delayed,L4 slip,0.5640721148543203,0.5247580278483588,0.20084665722122735,3.850273728797738
capacity,9101,s_lr,0.2,noisy,intact,0.4736760041333068,0.41962013814371285,0.19148867780527806,3.1006533270910226
capacity,9101,s_lr,0.2,noisy,L4 failure,0.7956990995780899,1.05847933789464,0.013935726539503684,6.240665345045262
capacity,9101,s_lr,0.2,noisy,L4 slip,0.5392363959548759,0.49757879360610435,0.16211935411252462,3.6490189541950357
capacity,9101,s_lr,0.2,stuck,intact,0.5010909139972531,0.47509618154386946,0.32375293045116027,3.370864104386328
capacity,9101,s_lr,0.2,stuck,L4 failure,0.8453921090983584,1.1561910952768975,0.1003682784756641,6.676085982715347
capacity,9101,s_lr,0.2,stuck,L4 slip,0.5530524332874166,0.5212903229713304,0.2461013823995441,3.78623036162025
capacity,9101,s_lr,0.4,always,intact,0.5041746536887806,0.5756605454030529,0.17902781162792708,3.541219355522756
capacity,9101,s_lr,0.4,always,L4 failure,0.6714862378288686,0.8329048676619714,0.13254397282112787,5.120347768028489
capacity,9101,s_lr,0.4,always,L4 slip,0.5349946520328869,0.5904590193478818,0.17455524392655403,3.8058542106124613
capacity,9101,s_lr,0.4,dropout,intact,0.43238489854564255,0.37878710459079157,0.13058393224981169,2.759291113014903
capacity,9101,s_lr,0.4,dropout,L4 failure,0.8654002554986575,1.227101997948864,0.4744711690237642,6.710355145309165
capacity,9101,s_lr,0.4,dropout,L4 slip,0.48265073132133757,0.42346440052099316,0.04410453546021643,3.1474813580597276
capacity,9101,s_lr,0.4,intermittent,intact,0.4941105956035177,0.3748070660056894,0.17732751064247548,3.081501602909373
capacity,9101,s_lr,0.4,intermittent,L4 failure,0.9573807550881014,1.3622663239316484,0.1427157284632694,7.630564506496189
capacity,9101,s_lr,0.4,intermittent,L4 slip,0.6043491323407575,0.6015521247383637,0.12936007489863863,4.245813699388218
capacity,9101,s_lr,0.4,delayed,intact,0.5286402480886571,0.6141294008526224,0.2094255665979627,3.742236403530036
capacity,9101,s_lr,0.4,delayed,L4 failure,0.6856583773538456,0.8469796071815393,0.1658319833387299,5.2370295017975685
capacity,9101,s_lr,0.4,delayed,L4 slip,0.556630693379349,0.6236864444923302,0.20825446216979032,3.993502323487862
capacity,9101,s_lr,0.4,noisy,intact,0.48849008360921964,0.5612537118992968,0.1575206631232522,3.411990183300016
capacity,9101,s_lr,0.4,noisy,L4 failure,0.6630299314526268,0.8318009448312285,0.1061260975155551,5.055119963012768
capacity,9101,s_lr,0.4,noisy,L4 slip,0.5213035428660189,0.5761596601504431,0.14988848475012623,3.6903928479779
capacity,9101,s_lr,0.4,stuck,intact,0.6404669569425923,0.8176654216235985,0.5074820071438649,4.50928719148601
capacity,9101,s_lr,0.4,stuck,L4 failure,0.6801920786514937,0.8527138250684534,0.2716964693237261,5.199947870998678
capacity,9101,s_lr,0.4,stuck,L4 slip,0.6300153726038501,0.7790434444019695,0.4757712856028694,4.56040214019517
