regime,seed,task,scenario,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9103,chirp,CC intermittent only,0.640386662802299,0.7117767964410371,0.044410116029112635,4.2095819679081
capacity,9103,chirp,L4 loss only,0.5881999956107589,0.6196444408612004,0.0428529452073025,4.991752414444289
capacity,9103,chirp,L4 loss + CC dropout,0.6188474226345589,0.7032638784900864,0.061302311935344675,4.014134592656276
capacity,9103,chirp,L4 slip only,0.550306489009404,0.4749809838496991,0.11895002087086852,4.902843791633636
capacity,9103,chirp,L4 slip + CC dropout,0.5750242755540151,0.5641808351015751,0.03406343111917811,3.487036633010145
capacity,9104,straight,CC dropout only,0.6229013881794527,0.764149323420519,0.026999040737028614,4.363574397542876
capacity,9104,straight,CC intermittent only,0.6274744764265826,0.7717286869705438,0.02158054095396858,4.406594507006405
capacity,9104,straight,L4 loss only,2.2076563784425844,3.476520545949583,1.1380154680698171,18.459704440704
capacity,9104,straight,L4 loss + CC dropout,2.430208433630869,3.8226929317886826,1.6894029078073973,18.316817743124776
capacity,9104,straight,L4 slip only,0.9245019190649739,1.3057069237022434,0.13766066582491918,8.75876454878843
capacity,9104,straight,L4 slip + CC dropout,0.9866053944431392,1.4200097102510425,0.33361877724183714,7.453583832569375
capacity,9104,s_lr,CC dropout only,0.6088614709890409,0.7007626483778069,0.026565085676289873,4.261045497738438
capacity,9104,s_lr,CC intermittent only,0.5961506355303591,0.6785890823905316,0.07070747742092647,4.140909214872511
capacity,9104,s_lr,L4 loss only,2.2864128448895897,3.5968907872276943,0.9954884622393418,19.44477857589069
capacity,9104,s_lr,L4 loss + CC dropout,2.5466721061919193,4.0189471285913285,1.5901010904387882,19.56791402660495
capacity,9104,s_lr,L4 slip only,0.9600326415325184,1.2998437247434282,0.08659004998643594,9.238713208554913
capacity,9104,s_lr,L4 slip + CC dropout,1.112272425416128,1.6059656415148182,0.2939951771425987,8.646384574257397
capacity,9104,s_rl,CC dropout only,0.7488010263699392,0.8595031302044525,0.07172265155778987,5.414984638278602
capacity,9104,s_rl,CC intermittent only,0.788850994576259,0.9229668906312603,0.10778917069221708,5.7818834700584105
capacity,9104,s_rl,L4 loss only,2.1366482219658294,3.3370006950365037,1.3198261431226495,18.008277262104013
capacity,9104,s_rl,L4 loss + CC dropout,2.2985636278908386,3.581591393317493,1.7898724447185521,17.356373366667537
capacity,9104,s_rl,L4 slip only,0.953588040511606,1.2955425834424645,0.34999583409248103,9.139895824716122
capacity,9104,s_rl,L4 slip + CC dropout,0.9424553184159994,1.2719413094150969,0.3811571876090776,7.158952093674557
capacity,9104,sine,CC dropout only,0.5689738242385521,0.6596025853375549,0.04498525906466349,3.8009972749783723
capacity,9104,sine,CC intermittent only,0.5955027291860253,0.7143294100318804,0.04621333941409526,4.0517753293119885
capacity,9104,sine,L4 loss only,2.1032958336758734,3.3237129719166996,1.0870032951129656,17.466318932238607
capacity,9104,sine,L4 loss + CC dropout,2.325372815550551,3.6645601446210336,1.6235256743289193,17.388826902489207
capacity,9104,sine,L4 slip only,0.8662415496346362,1.211892330569181,0.09368830594313338,8.230120452194186
capacity,9104,sine,L4 slip + CC dropout,0.9274675254010044,1.3294177417700126,0.2671270925906407,6.942292829646397
capacity,9104,chirp,CC dropout only,0.617673959697823,0.7353584333696144,0.03533495976832022,4.238441748312462
capacity,9104,chirp,CC intermittent only,0.6630557853139988,0.8238389680702489,0.03527869967453168,4.682948889211767
capacity,9104,chirp,L4 loss only,2.170790477789184,3.420258792371885,1.0376672880514075,18.24953155288183
capacity,9104,chirp,L4 loss + CC dropout,2.413661797769175,3.8029349670587678,1.612942834039424,18.197236896498033
capacity,9104,chirp,L4 slip only,0.9548682625457925,1.3287009471063314,0.042133310291214365,9.166725362247172
capacity,9104,chirp,L4 slip + CC dropout,1.0730135750138685,1.5554650087210256,0.2885358826180022,8.158681683157065
capacity,9105,straight,CC dropout only,0.48173979711445053,0.5338766973728983,0.017296175743856293,3.131182388835037
capacity,9105,straight,CC intermittent only,0.4817282471868217,0.5335510326196291,0.015032027287578919,3.1305987241538618
capacity,9105,straight,L4 loss only,1.3634140125196257,2.107871216940583,0.48302638842351187,11.693312590095667
capacity,9105,straight,L4 loss + CC dropout,1.443438000655344,2.2358253660150074,0.6979797561202306,11.03363335413423
capacity,9105,straight,L4 slip only,0.6519083324031406,0.8520917715202458,0.08210587565161738,6.168983341998165
capacity,9105,straight,L4 slip + CC dropout,0.6741003580193498,0.898030841377695,0.14699391515119467,4.906494606196852
capacity,9105,s_lr,CC dropout only,0.6520746956768464,0.7910534876983659,0.01803874569028991,4.7884379462127615
capacity,9105,s_lr,CC intermittent only,0.6604500784184189,0.7967007613948061,0.04447493836425171,4.855146904822082
capacity,9105,s_lr,L4 loss only,1.3400244046091738,2.0236175585495255,0.27693058345801486,11.900461036464089
capacity,9105,s_lr,L4 loss + CC dropout,1.4788063647046632,2.265187802289965,0.585740603601568,11.598276250296342
capacity,9105,s_lr,L4 slip only,0.7859849693622276,0.9987264172011475,0.07303028388180226,7.539351765612276
capacity,9105,s_lr,L4 slip + CC dropout,0.8883596501880021,1.225338609257839,0.13350958697857535,6.869160839639438
capacity,9105,s_rl,CC dropout only,0.6133562000807639,0.6780966929032143,0.033366576797148426,4.320484272975074
capacity,9105,s_rl,CC intermittent only,0.621859679988618,0.6915802905745548,0.058976958720125025,4.4001444499264295
capacity,9105,s_rl,L4 loss only,1.4254208114345304,2.1829137882514487,0.6982123666452723,12.397396954224021
capacity,9105,s_rl,L4 loss + CC dropout,1.4442156399532091,2.210018053520744,0.8073117942026162,11.22288717261588
capacity,9105,s_rl,L4 slip only,0.6678441348203137,0.7828455651201328,0.22606841082269974,6.391122238105176
capacity,9105,s_rl,L4 slip + CC dropout,0.6592050235370017,0.7610531321846257,0.15249319746181594,4.746214127266713
capacity,9105,sine,CC dropout only,0.5449881406672532,0.6198869364777577,0.03392687680836134,3.520524084769005
capacity,9105,sine,CC intermittent only,0.6272250541618585,0.7829543722078955,0.04977666849474772,4.3125636944230745
capacity,9105,sine,L4 loss only,1.3935435717854345,2.16434869585873,0.4623217659588542,11.994620359443237
capacity,9105,sine,L4 loss + CC dropout,1.495671764291989,2.3299145045625047,0.7005202966169088,11.34343771421065
capacity,9105,sine,L4 slip only,0.6887912128843382,0.896899142869122,0.0604262704628318,6.593129138544892
capacity,9105,sine,L4 slip + CC dropout,0.7369485708960285,0.9975882259078311,0.13484554838862517,5.320892458522699
capacity,9105,chirp,CC dropout only,0.7054988161427941,0.8913092797899473,0.03794882037158455,5.068774402674664
capacity,9105,chirp,CC intermittent only,0.7871275547783448,1.0392297784792321,0.03636067361099077,5.815723988875449
capacity,9105,chirp,L4 loss only,1.3908362402858927,2.133031220458272,0.38593483270183054,12.178909267156257
capacity,9105,chirp,L4 loss + CC dropout,1.5122325209361196,2.3344003052280047,0.6597245774816123,11.540144970654035
capacity,9105,chirp,L4 slip only,0.8191447123667188,1.0810274123422132,0.03557368505403026,7.939619564503795
capacity,9105,chirp,L4 slip + CC dropout,0.91234180708717,1.2728547020393766,0.158825353328126,6.874491562437351
capacity,9106,straight,CC dropout only,0.45817088254991306,0.4275353193244419,0.07923887333737231,2.603250388904542
capacity,9106,straight,CC intermittent only,0.44889006610890914,0.3994918682055283,0.06439331267917409,2.4860200770493988
capacity,9106,straight,L4 loss only,0.892861866536767,1.2922390454960593,0.29801332648336587,7.695601988566245
capacity,9106,straight,L4 loss + CC dropout,0.965832627250041,1.4128637630536116,0.49969758168054346,7.070351941410997
capacity,9106,straight,L4 slip only,0.5443899843187741,0.6039190721830279,0.03110610978145169,4.974256568464764
capacity,9106,straight,L4 slip + CC dropout,0.5532188958017606,0.626313733544957,0.09253060171424521,3.606296644078468
capacity,9106,s_lr,CC dropout only,0.5811677632234377,0.6093094252127503,0.07564435220683721,3.9699974707560317
capacity,9106,s_lr,CC intermittent only,0.6257708293145573,0.6835265527496163,0.11072000097892012,4.394161610717048
capacity,9106,s_lr,L4 loss only,0.9779744779908286,1.419048056772867,0.149402155833618,8.64241976940084
capacity,9106,s_lr,L4 loss + CC dropout,1.1231169863352488,1.6785615611765277,0.4821938570696066,8.665967770600975
capacity,9106,s_lr,L4 slip only,0.692960514190845,0.820328372690615,0.13995237781617315,6.434148116329059
capacity,9106,s_lr,L4 slip + CC dropout,0.7792738974213107,1.0314497051893363,0.09572619406168342,5.913185662118725
capacity,9106,s_rl,CC dropout only,0.6737383149573524,0.6883456533800986,0.046563587802698814,4.515106495364028
capacity,9106,s_rl,CC intermittent only,0.6609345687482562,0.651103235068441,0.027477041615254293,4.363214079284916
capacity,9106,s_rl,L4 loss only,0.962730959839283,1.2797233331619118,0.42493394459353323,8.632212695159529
capacity,9106,s_rl,L4 loss + CC dropout,0.9882040351456212,1.321834786055438,0.5455009781248329,7.264321268743753
capacity,9106,s_rl,L4 slip only,0.6259407095129973,0.5220607042357097,0.1789186788700083,5.730305366740458
capacity,9106,s_rl,L4 slip + CC dropout,0.6238770922533197,0.5092539713816293,0.12436203286767067,3.771772154290268
capacity,9106,sine,CC dropout only,0.45528835733156053,0.3414699556636383,0.09371240987460246,2.3244795914610914
capacity,9106,sine,CC intermittent only,0.5580709491255634,0.5991924393457114,0.0658699516110609,3.533832856629674
capacity,9106,sine,L4 loss only,1.0135196696365476,1.4931409039929888,0.2168843676305973,8.970668438635016
capacity,9106,sine,L4 loss + CC dropout,1.130692265130353,1.6967140402206158,0.48822591859596154,8.433191846910354
capacity,9106,sine,L4 slip only,0.6006907111070503,0.6857273676892935,0.06098916288204269,5.728233029565485
capacity,9106,sine,L4 slip + CC dropout,0.6403936055530666,0.7812185853021626,0.07633166298491559,4.374230211948357
capacity,9106,chirp,CC dropout only,0.5832708723853905,0.6059432305459819,0.06468657982326768,3.785166110184467
capacity,9106,chirp,CC intermittent only,0.7235113698716803,0.8930156955358399,0.0609282546225657,5.186578325147217
capacity,9106,chirp,L4 loss only,1.0901397252140421,1.608558658761671,0.1836376508507538,9.777497280340569
capacity,9106,chirp,L4 loss + CC dropout,1.2536999964906477,1.8907717962260464,0.5092348938061242,9.49486801582691
capacity,9106,chirp,L4 slip only,0.7102139954821607,0.8614177930016342,0.0968513315074584,6.842139108888384
capacity,9106,chirp,L4 slip + CC dropout,0.797771213041872,1.0594945415463335,0.10133067874194097,5.867734549962329
sensor_comm,9101,straight,CC dropout only,0.3718123508464906,0.4096030565284968,0.10225847046868601,2.2659806764683914
sensor_comm,9101,straight,CC intermittent only,0.37465990005033806,0.4137522021384788,0.088346929298797,2.3018567317412177
sensor_comm,9101,straight,L4 loss only,0.895292420601173,1.3517532689532423,0.24269144379183594,7.718233272884463
