regime,condition,history,levels,rate_per_receiver_bits_per_step,rate_shared_bus_bits_per_step,gain_bits_per_action,shuffle_gap_bits_per_action,eta_per_receiver,eta_shared_bus,context_test_nll_nats,message_test_nll_nats,shuffled_test_nll_nats,context_best_epoch,message_best_epoch,model_seed
own_sensor,intact,4,33,5.044394119358453,20.177576477433814,0.015932644758581454,0.08170156217093329,0.0031584853168863357,0.0031584853168863357,-0.6812996864318848,-0.6923433542251587,-0.6357121467590332,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,33,5.044394119358453,20.177576477433814,-0.13872722557872164,-0.09311304101230779,-0.02750126621675726,-0.02750126621675726,-0.6251768469810486,-0.5290184617042542,-0.5935595035552979,22,39,42
own_sensor,intact,4,65,6.022367813028454,24.089471252113817,0.015263116298772542,0.09458151487669988,0.0025344045353312976,0.0025344045353312976,-0.6812996864318848,-0.6918792724609375,-0.6263203620910645,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,65,6.022367813028454,24.089471252113817,-0.1400395391961303,-0.09359803208774091,-0.023253235860682002,-0.023253235860682002,-0.6251768469810486,-0.5281088352203369,-0.5929860472679138,22,39,42
own_sensor,intact,4,full_precision,,,-0.12048145716169813,0.7202994316337382,,,-0.5809272527694702,-0.4974158704280853,0.0018576497677713633,24,20,43
own_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,0.0092156903464836,0.6847602537673981,,,-0.3333795666694641,-0.3397673964500427,0.13487224280834198,24,20,43
own_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,-0.5809272527694702,-0.5809272527694702,-0.5809272527694702,24,22,43
own_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,-0.3333795666694641,-0.3333795666694641,-0.3333795666694641,24,22,43
own_sensor,intact,4,3,1.584962500721156,6.339850002884624,0.08696156555624686,0.04757590467348048,0.054866639126590976,0.054866639126590976,-0.5809272527694702,-0.6412044167518616,-0.6082273125648499,24,40,43
own_sensor,limb_loss_sensor_loss_cc_dropout,4,3,1.584962500721156,6.339850002884624,0.24638286157401224,0.011253039824267147,0.15545027813712206,0.15545027813712206,-0.3333795666694641,-0.504159152507782,-0.4963591396808624,24,40,43
own_sensor,intact,4,9,3.169925001442312,12.679700005769249,-0.18078158425058893,0.5697774796636642,-0.05703024020074088,-0.05703024020074088,-0.5809272527694702,-0.4556190073490143,-0.0606793537735939,24,20,43
own_sensor,limb_loss_sensor_loss_cc_dropout,4,9,3.169925001442312,12.679700005769249,-0.09867732470266039,0.5447730510417086,-0.031129230078870106,-0.031129230078870106,-0.3333795666694641,-0.2649816572666168,0.11262624710798264,24,20,43
own_sensor,intact,4,33,5.044394119358453,20.177576477433814,-0.12289488970125592,0.6974304870665822,-0.024362666118738104,-0.024362666118738104,-0.5809272527694702,-0.4957430064678192,-0.012321030721068382,24,20,43
