regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9103,OOS,s_rl,intact,0,1.0,0.02300560047706301,0.0
capacity,9103,OOS,s_rl,L1,1,0.5,0.020786372363976673,-0.002219228113086339
capacity,9103,OOS,s_rl,L1,1,0.0,0.03358824831851002,0.010582647841447006
capacity,9103,OOS,s_rl,L2,2,0.5,0.03139371303842414,0.00838811256136113
capacity,9103,OOS,s_rl,L2,2,0.0,0.13979964404584858,0.11679404356878556
capacity,9103,OOS,s_rl,L3,3,0.5,0.03518238307167787,0.012176782594614858
capacity,9103,OOS,s_rl,L3,3,0.0,0.1416671360793667,0.11866153560230369
capacity,9103,OOS,s_rl,L4,4,0.5,0.02033399116715947,-0.002671609309903542
capacity,9103,OOS,s_rl,L4,4,0.0,0.02143482050615846,-0.0015707799709045525
capacity,9103,OOS,sine,intact,0,1.0,0.015358105790333044,0.0
capacity,9103,OOS,sine,L1,1,0.5,0.014035766635363559,-0.0013223391549694857
capacity,9103,OOS,sine,L1,1,0.0,0.02699673486177609,0.011638629071443045
capacity,9103,OOS,sine,L2,2,0.5,0.031034865121449783,0.015676759331116737
capacity,9103,OOS,sine,L2,2,0.0,0.15190523450664967,0.13654712871631663
capacity,9103,OOS,sine,L3,3,0.5,0.030320696428438543,0.014962590638105499
capacity,9103,OOS,sine,L3,3,0.0,0.14549933755636363,0.1301412317660306
capacity,9103,OOS,sine,L4,4,0.5,0.01428904530163638,-0.0010690604886966649
capacity,9103,OOS,sine,L4,4,0.0,0.016190013330117173,0.0008319075397841286
capacity,9103,OOS,chirp,intact,0,1.0,0.02081066627411715,0.0
capacity,9103,OOS,chirp,L1,1,0.5,0.021840104828718905,0.001029438554601754
capacity,9103,OOS,chirp,L1,1,0.0,0.03781694395328647,0.017006277679169318
capacity,9103,OOS,chirp,L2,2,0.5,0.03855979091688873,0.017749124642771577
capacity,9103,OOS,chirp,L2,2,0.0,0.16138791193124286,0.1405772456571257
capacity,9103,OOS,chirp,L3,3,0.5,0.03528088783590777,0.01447022156179062
capacity,9103,OOS,chirp,L3,3,0.0,0.14722589562981203,0.12641522935569488
capacity,9103,OOS,chirp,L4,4,0.5,0.02144045622180014,0.0006297899476829898
capacity,9103,OOS,chirp,L4,4,0.0,0.024839021908141974,0.004028355634024823
capacity,9103,OOS,left,intact,0,1.0,0.046598894458065636,0.0
capacity,9103,OOS,left,L1,1,0.5,0.05133226049384938,0.004733366035783747
capacity,9103,OOS,left,L1,1,0.0,0.10074786123531351,0.05414896677724788
capacity,9103,OOS,left,L2,2,0.5,0.06979893216787669,0.023200037709811057
capacity,9103,OOS,left,L2,2,0.0,0.1948484373187781,0.14824954286071246
capacity,9103,OOS,left,L3,3,0.5,0.06450351207804578,0.01790461761998014
capacity,9103,OOS,left,L3,3,0.0,0.17192692858887904,0.1253280341308134
capacity,9103,OOS,left,L4,4,0.5,0.04834144961545287,0.001742555157387235
capacity,9103,OOS,left,L4,4,0.0,0.0848684542845049,0.038269559826439266
capacity,9103,OOS,right,intact,0,1.0,0.04034870265267653,0.0
capacity,9103,OOS,right,L1,1,0.5,0.03742209289277123,-0.002926609759905302
capacity,9103,OOS,right,L1,1,0.0,0.036339214930000696,-0.004009487722675835
capacity,9103,OOS,right,L2,2,0.5,0.03696280483146017,-0.0033858978212163576
capacity,9103,OOS,right,L2,2,0.0,0.1315402621452817,0.09119155949260516
capacity,9103,OOS,right,L3,3,0.5,0.04696693213691576,0.006618229484239228
capacity,9103,OOS,right,L3,3,0.0,0.1527224136559021,0.11237371100322557
capacity,9103,OOS,right,L4,4,0.5,0.04169353012109123,0.0013448274684146957
capacity,9103,OOS,right,L4,4,0.0,0.04943653720750887,0.009087834554832336
capacity,9104,ID,straight,intact,0,1.0,0.0032995387696116434,0.0
capacity,9104,ID,straight,L1,1,0.5,0.008979799419370469,0.005680260649758826
capacity,9104,ID,straight,L1,1,0.0,0.056753617188447944,0.0534540784188363
capacity,9104,ID,straight,L2,2,0.5,0.003484301601467465,0.0001847628318558214
capacity,9104,ID,straight,L2,2,0.0,0.004003294262926993,0.0007037554933153494
capacity,9104,ID,straight,L3,3,0.5,0.0756113084375582,0.07231176966794656
capacity,9104,ID,straight,L3,3,0.0,0.3293316897120494,0.32603215094243776
capacity,9104,ID,straight,L4,4,0.5,0.06435597491355993,0.06105643614394829
capacity,9104,ID,straight,L4,4,0.0,0.578728837375775,0.5754292986061633
capacity,9104,ID,left,intact,0,1.0,0.017281900016548047,0.0
capacity,9104,ID,left,L1,1,0.5,0.016563243679079666,-0.0007186563374683812
capacity,9104,ID,left,L1,1,0.0,0.04002995113599277,0.02274805111944472
