regime,seed,task,cc_gain,cc_mode,limb_condition,always_late_path_error,disrupted_late_path_error,retention_ratio
capacity,9101,chirp,0.05,dropout,L4 slip,1.1348310215123243,1.2782173945726565,0.8878231718100893
capacity,9101,chirp,0.05,intermittent,intact,0.7816337950408953,1.03904618530843,0.752260877420839
capacity,9101,chirp,0.05,intermittent,L4 failure,2.0896171473978904,2.433201317881295,0.8587933649556874
capacity,9101,chirp,0.05,intermittent,L4 slip,1.1348310215123243,1.4314896637490846,0.7927622883005605
capacity,9101,chirp,0.05,delayed,intact,0.7816337950408953,0.8071638579063981,0.9683706565706224
capacity,9101,chirp,0.05,delayed,L4 failure,2.0896171473978904,2.129750895741207,0.9811556607753654
capacity,9101,chirp,0.05,delayed,L4 slip,1.1348310215123243,1.1660736909492413,0.9732069510877276
capacity,9101,chirp,0.05,noisy,intact,0.7816337950408953,0.7692255741353043,1.0161307961186017
capacity,9101,chirp,0.05,noisy,L4 failure,2.0896171473978904,2.080365443228301,1.0044471533593793
capacity,9101,chirp,0.05,noisy,L4 slip,1.1348310215123243,1.1250406948036418,1.0087021978439557
capacity,9101,chirp,0.05,stuck,intact,0.7816337950408953,0.7855852030119695,0.9949701089634524
capacity,9101,chirp,0.05,stuck,L4 failure,2.0896171473978904,2.14656064000797,0.9734722180455763
capacity,9101,chirp,0.05,stuck,L4 slip,1.1348310215123243,1.15397443296424,0.9834108877068085
